NAME,total_housing_units,built_2020_or_later,built_2010_to_2019,built_2000_to_2009,built_1990_to_1999,built_1980_to_1989,built_1970_to_1979,built_1960_to_1969,built_1950_to_1959,built_1940_to_1949,median_year_year_built,state,county
"Shelby County, Alabama",90805,1682,13046,24289,21584,14914,9275,2702,1352,829,1997,01,117
"Sumter County, Alabama",6329,29,369,797,1216,775,1617,643,544,149,1980,01,119
"Talladega County, Alabama",38285,446,2779,5116,6721,5550,5830,3590,4196,1687,1983,01,121
"Tallapoosa County, Alabama",22967,186,1886,3278,4049,3656,3321,2553,1602,960,1984,01,123
"Tuscaloosa County, Alabama",102935,1181,16549,20810,17091,12162,14964,8577,5468,2850,1992,01,125
"Walker County, Alabama",30230,289,2212,3812,5257,4626,5264,3014,2331,1591,1982,01,127
"Washington County, Alabama",7774,10,507,978,1666,1036,1746,686,674,266,1983,01,129
"Wilcox County, Alabama",5314,20,277,706,1170,975,1026,415,351,227,1985,01,131
"Winston County, Alabama",13111,48,1036,2150,2725,1803,2239,1566,695,424,1987,01,133
"Aleutians East Borough, Alaska",1174,0,28,72,99,436,222,138,42,66,1981,02,013
"Aleutians West Census Area, Alaska",1391,6,111,92,407,372,163,75,21,111,1988,02,016
"Anchorage Municipality, Alaska",119717,295,7948,14522,13866,29677,32870,11562,6973,1081,1982,02,020
"Bethel Census Area, Alaska",6009,11,523,1022,1065,1602,1300,346,58,53,1988,02,050
"Bristol Bay Borough, Alaska",831,0,14,81,216,168,240,63,11,14,1984,02,060
"Chugach Census Area, Alaska",3745,13,153,346,392,811,1097,307,343,142,1979,02,063
"Copper River Census Area, Alaska",2597,8,133,530,361,553,524,175,88,151,1985,02,066
"Denali Borough, Alaska",1306,5,88,247,274,350,191,69,39,14,1989,02,068
"Dillingham Census Area, Alaska",2416,0,91,338,447,712,586,116,49,57,1985,02,070
"Fairbanks North Star Borough, Alaska",42695,211,3488,6598,5020,11098,10026,2787,2478,611,1985,02,090
"Haines Borough, Alaska",1401,20,239,169,199,312,156,116,51,46,1988,02,100
"Hoonah-Angoon Census Area, Alaska",1741,13,87,173,315,451,331,59,69,103,1984,02,105
"Juneau City and Borough, Alaska",14170,71,797,1574,1738,3315,3705,1148,481,290,1981,02,110
"Kenai Peninsula Borough, Alaska",32707,366,3650,6719,4972,7845,5674,1871,991,291,1989,02,122
"Ketchikan Gateway Borough, Alaska",6659,15,366,499,830,1078,1513,487,699,267,1976,02,130
"Kodiak Island Borough, Alaska",5840,104,398,832,915,1324,1211,512,329,206,1985,02,150
"Kusilvak Census Area, Alaska",2341,28,187,437,388,542,612,105,33,4,1988,02,158
"Lake and Peninsula Borough, Alaska",1355,2,111,95,207,502,235,104,47,35,1985,02,164
"Matanuska-Susitna Borough, Alaska",50922,511,8233,14069,7523,11148,6215,1765,863,325,1996,02,170
"Nome Census Area, Alaska",4109,4,182,475,661,1199,1035,244,89,67,1984,02,180
"North Slope Borough, Alaska",2640,2,123,268,477,713,730,206,52,0,1984,02,185
"Northwest Arctic Borough, Alaska",2744,0,105,245,618,828,692,135,72,43,1985,02,188
