NAME,total_housing_units,built_2020_or_later,built_2010_to_2019,built_2000_to_2009,built_1990_to_1999,built_1980_to_1989,built_1970_to_1979,built_1960_to_1969,built_1950_to_1959,built_1940_to_1949,median_year_year_built,state,county
"Cherokee County, Kansas",9140,21,386,846,822,948,1370,858,676,478,1968,20,021
"Cheyenne County, Kansas",1465,0,28,45,65,68,227,121,169,151,1949,20,023
"Clark County, Kansas",1066,0,34,39,41,79,79,109,145,107,1949,20,025
"Clay County, Kansas",3940,26,192,204,383,211,576,407,345,347,1961,20,027
"Cloud County, Kansas",4490,16,119,167,125,302,490,615,575,322,1953,20,029
"Coffey County, Kansas",3985,32,260,372,499,331,581,356,263,149,1971,20,031
"Comanche County, Kansas",1050,0,16,40,40,82,79,101,133,42,1942,20,033
"Cowley County, Kansas",15647,63,470,1013,1676,1643,1934,1338,2422,770,1962,20,035
"Crawford County, Kansas",18088,81,1250,1755,2324,1361,2646,1823,1566,1131,1971,20,037
"Decatur County, Kansas",1643,0,19,70,40,122,230,217,214,188,1954,20,039
"Dickinson County, Kansas",8793,47,276,711,563,335,1246,667,1314,508,1956,20,041
"Doniphan County, Kansas",3375,29,135,335,428,268,500,237,193,147,1970,20,043
"Douglas County, Kansas",53308,1109,6348,8631,9161,6719,6494,5208,3048,941,1988,20,045
"Edwards County, Kansas",1551,0,40,56,35,70,97,169,244,141,1945,20,047
"Elk County, Kansas",1502,0,70,83,85,101,177,137,216,76,1955,20,049
"Ellis County, Kansas",13247,143,762,1273,1147,1298,2453,1951,1735,790,1972,20,051
"Ellsworth County, Kansas",3110,0,152,154,251,211,517,312,248,289,1961,20,053
"Finney County, Kansas",14279,89,736,976,2006,2370,3623,1461,995,622,1977,20,055
"Ford County, Kansas",12638,56,693,981,904,1363,2735,1622,1614,676,1972,20,057
"Franklin County, Kansas",11239,33,439,1581,1852,1006,1288,1171,981,475,1974,20,059
"Geary County, Kansas",15917,58,2868,3390,1268,1782,1636,1407,1281,339,1988,20,061
"Gove County, Kansas",1332,0,20,70,77,118,175,155,207,110,1958,20,063
"Graham County, Kansas",1428,0,5,24,53,187,229,138,298,153,1957,20,065
"Grant County, Kansas",2932,0,166,245,425,578,525,180,424,235,1979,20,067
"Gray County, Kansas",2339,0,157,138,273,400,376,220,200,151,1975,20,069
"Greeley County, Kansas",622,0,35,11,25,48,109,139,84,66,1964,20,071
"Greenwood County, Kansas",3682,36,127,272,231,308,409,356,482,265,1958,20,073
"Hamilton County, Kansas",1030,10,23,9,79,115,266,129,104,75,1969,20,075
"Harper County, Kansas",3026,0,149,36,140,366,313,321,641,207,1957,20,077
"Harvey County, Kansas",14621,78,674,1831,1522,1422,1699,1731,1924,639,1970,20,079
"Haskell County, Kansas",1545,0,118,124,134,219,385,225,120,92,1975,20,081
"Hodgeman County, Kansas",814,0,3,59,87,54,63,74,127,115,1955,20,083
"Jackson County, Kansas",5615,23,166,852,702,803,779,398,251,165,1977,20,085
"Jefferson County, Kansas",8004,0,555,947,1160,956,1506,689,521,218,1977,20,087
"Jewell County, Kansas",1760,0,75,30,124,102,204,111,122,86,1938,20,089
"Johnson County, Kansas",255320,3714,30305,41823,44876,41249,35140,23087,21931,6369,1988,20,091
"Kearny County, Kansas",1579,0,73,151,178,187,240,177,227,84,1972,20,093
"Kingman County, Kansas",3673,13,69,191,287,331,434,343,582,232,1957,20,095
"Kiowa County, Kansas",1150,1,110,279,39,66,104,91,117,62,1972,20,097
"Labette County, Kansas",9508,19,325,611,563,832,1611,625,1277,747,1959,20,099
"Lane County, Kansas",885,0,34,47,45,179,65,88,210,59,1962,20,101
"Leavenworth County, Kansas",31589,287,2510,5702,4365,3826,3806,2540,1994,784,1982,20,103
"Lincoln County, Kansas",1667,8,20,49,64,103,161,123,105,86,1938,20,105
"Linn County, Kansas",5180,33,418,807,799,587,1020,193,172,72,1981,20,107
"Logan County, Kansas",1372,0,57,21,114,51,236,226,261,112,1961,20,109
"Lyon County, Kansas",14998,53,799,895,1095,1794,2814,1788,987,476,1970,20,111
"McPherson County, Kansas",13128,49,930,1296,1809,1497,2099,987,838,567,1975,20,113
"Marion County, Kansas",5673,6,181,379,466,415,667,445,801,461,1957,20,115
"Marshall County, Kansas",4758,6,298,311,219,398,634,502,414,292,1960,20,117
"Meade County, Kansas",1869,0,16,53,107,183,290,324,174,219,1961,20,119
"Miami County, Kansas",14090,203,1065,2886,2291,1275,1867,890,769,578,1985,20,121
"Mitchell County, Kansas",3124,0,225,173,117,240,367,356,273,285,1957,20,123
"Montgomery County, Kansas",15566,64,382,809,817,1470,2300,1257,1667,1216,1956,20,125
"Morris County, Kansas",2991,54,144,201,170,275,258,232,345,177,1955,20,127
"Morton County, Kansas",1316,0,5,71,11,145,401,241,169,64,1969,20,129
"Nemaha County, Kansas",4501,22,420,485,483,467,605,323,299,213,1974,20,131
"Neosho County, Kansas",7227,0,317,604,511,585,934,696,956,531,1960,20,133
"Ness County, Kansas",1475,0,8,56,50,120,299,168,247,113,1959,20,135
"Norton County, Kansas",2454,37,36,106,217,169,253,217,213,223,1951,20,137
"Osage County, Kansas",7293,37,211,742,933,840,1366,693,346,215,1974,20,139
"Osborne County, Kansas",2027,0,19,45,85,117,230,238,311,180,1951,20,141
"Ottawa County, Kansas",2684,20,177,262,307,154,281,251,166,126,1964,20,143
"Pawnee County, Kansas",3045,0,126,251,156,137,339,270,497,140,1955,20,145
"Phillips County, Kansas",2797,0,45,71,140,141,488,432,450,179,1958,20,147
"Pottawatomie County, Kansas",10077,136,1727,1349,1222,928,1363,555,648,452,1983,20,149
"Pratt County, Kansas",4375,20,130,189,249,413,467,445,528,586,1955,20,151
"Rawlins County, Kansas",1363,4,32,15,61,246,133,122,184,106,1956,20,153
"Reno County, Kansas",28309,50,908,1930,2241,2474,4167,3375,4315,1937,1963,20,155
"Republic County, Kansas",2672,36,37,42,153,81,255,235,263,268,1941,20,157
"Rice County, Kansas",4384,38,165,113,191,233,730,383,667,527,1955,20,159
"Riley County, Kansas",30674,164,4911,4480,3687,3490,4834,2495,2927,1140,1984,20,161
"Rooks County, Kansas",2643,5,100,57,62,114,365,272,547,315,1954,20,163
"Rush County, Kansas",1701,0,31,77,30,77,229,144,273,141,1950,20,165
"Russell County, Kansas",3687,2,141,95,178,215,568,233,826,310,1955,20,167
"Saline County, Kansas",24146,69,694,1685,2426,2553,3247,2787,4913,1671,1965,20,169
"Scott County, Kansas",2271,10,151,155,100,93,186,368,507,253,1959,20,171
"Sedgwick County, Kansas",225795,2227,18807,26774,27718,28811,29948,18520,37789,14985,1977,20,173
"Seward County, Kansas",8299,20,647,359,995,883,1488,1468,1301,290,1972,20,175
"Shawnee County, Kansas",80884,314,3464,7367,8502,9073,13719,11494,10880,4501,1971,20,177
"Sheridan County, Kansas",1156,1,47,27,57,112,279,141,128,80,1966,20,179
"Sherman County, Kansas",2938,5,26,53,106,427,763,263,315,198,1967,20,181
"Smith County, Kansas",2023,0,35,71,121,69,364,221,213,117,1954,20,183
"Stafford County, Kansas",2104,0,39,98,120,125,160,263,306,181,1952,20,185
"Stanton County, Kansas",1014,0,32,82,123,112,101,219,135,37,1967,20,187
"Stevens County, Kansas",2244,2,92,131,259,444,281,272,337,260,1973,20,189
"Sumner County, Kansas",10395,20,359,926,1106,1085,1391,717,1514,462,1966,20,191
"Thomas County, Kansas",3580,0,63,71,431,299,670,564,427,437,1965,20,193
"Trego County, Kansas",1673,0,40,12,205,81,299,278,268,100,1963,20,195
"Wabaunsee County, Kansas",3135,0,178,422,295,233,351,235,240,91,1966,20,197
"Wallace County, Kansas",757,1,29,4,68,39,178,104,76,46,1964,20,199
"Washington County, Kansas",2731,4,128,140,102,170,318,302,335,186,1954,20,201
"Wichita County, Kansas",990,0,30,25,43,51,281,182,155,62,1966,20,203
"Wilson County, Kansas",4492,6,222,303,453,518,818,278,366,387,1971,20,205
"Woodson County, Kansas",1842,0,101,99,23,206,285,208,210,93,1960,20,207
"Wyandotte County, Kansas",68614,382,3695,5025,3582,5071,9328,9483,12563,5932,1962,20,209
"Adair County, Kentucky",8632,129,763,1401,1308,1129,1326,1160,591,205,1984,21,001
"Allen County, Kentucky",9261,142,1102,1626,1599,908,1175,968,622,253,1988,21,003
"Anderson County, Kentucky",10196,81,654,1651,2619,1636,1344,620,367,272,1989,21,005
"Ballard County, Kentucky",3707,33,384,502,647,342,499,347,434,215,1982,21,007
"Barren County, Kentucky",20107,174,2059,3324,3062,2498,3224,1892,1598,690,1984,21,009
"Bath County, Kentucky",5479,51,564,770,998,804,871,343,385,263,1986,21,011
"Bell County, Kentucky",11608,32,573,1478,1475,1970,2258,1223,982,774,1979,21,013
"Boone County, Kentucky",52476,956,5867,13994,10642,6974,6551,3043,2591,908,1995,21,015
"Bourbon County, Kentucky",9148,66,444,1253,1028,1451,1323,601,719,390,1977,21,017
"Boyd County, Kentucky",21731,20,743,1693,2449,2105,4406,3509,2736,1417,1971,21,019
"Boyle County, Kentucky",12969,66,765,1681,1634,1685,2581,1486,1003,462,1977,21,021
"Bracken County, Kentucky",3847,6,235,665,704,408,408,229,204,171,1982,21,023
"Breathitt County, Kentucky",6559,65,761,1167,1147,1231,1022,494,244,124,1989,21,025
"Breckinridge County, Kentucky",10760,219,904,1763,2290,1479,2066,883,462,262,1989,21,027
"Bullitt County, Kentucky",33222,524,3768,6574,7590,4029,5661,2656,1373,293,1992,21,029
"Butler County, Kentucky",5453,9,784,543,1086,764,922,543,290,120,1986,21,031
"Caldwell County, Kentucky",6085,91,409,794,807,316,1053,725,694,436,1974,21,033
"Calloway County, Kentucky",18034,316,2295,1886,3444,2057,2999,1978,1408,835,1985,21,035
"Campbell County, Kentucky",41784,412,3269,4146,5862,4244,3601,3065,4087,2336,1972,21,037
"Carlisle County, Kentucky",2315,0,187,259,317,279,344,307,240,146,1977,21,039
"Carroll County, Kentucky",4682,34,397,570,693,865,747,324,198,220,1983,21,041
"Carter County, Kentucky",12283,61,814,1861,2160,1750,2319,1285,1051,461,1983,21,043
"Casey County, Kentucky",7401,62,600,1068,1227,1465,1330,578,389,271,1985,21,045
"Christian County, Kentucky",29307,331,2528,4645,5094,3387,4513,3037,3255,1019,1984,21,047
"Clark County, Kentucky",16279,120,947,2409,2884,1552,2823,1607,1573,898,1979,21,049
"Clay County, Kentucky",8642,25,1055,1221,1581,1686,1360,721,439,198,1987,21,051
"Clinton County, Kentucky",4864,22,329,906,647,702,742,398,573,231,1982,21,053
"Crittenden County, Kentucky",4351,20,240,391,494,550,900,608,412,374,1975,21,055
"Cumberland County, Kentucky",3399,0,298,507,590,557,619,315,105,173,1985,21,057
"Daviess County, Kentucky",44199,411,3940,4922,6205,4661,7462,5476,5923,2036,1977,21,059
"Edmonson County, Kentucky",6418,161,750,746,1468,997,1026,586,340,175,1989,21,061
"Elliott County, Kentucky",3065,18,246,646,539,542,411,268,120,94,1988,21,063
"Estill County, Kentucky",6847,46,308,782,934,1419,1044,628,508,289,1980,21,065
"Fayette County, Kentucky",147720,1581,14802,21453,23016,19187,21365,19768,12599,4010,1983,21,067
"Fleming County, Kentucky",6776,66,649,1090,1286,617,949,548,365,232,1985,21,069
"Floyd County, Kentucky",17475,265,957,1747,2858,3069,3600,1103,1189,1237,1981,21,071
"Franklin County, Kentucky",24082,198,681,3121,4225,2663,4515,2881,2477,1021,1977,21,073
"Fulton County, Kentucky",3174,0,184,193,191,424,725,517,300,322,1972,21,075
"Gallatin County, Kentucky",3763,61,262,648,1072,516,417,200,243,126,1992,21,077
"Garrard County, Kentucky",7272,206,540,1185,1495,731,1011,987,335,194,1987,21,079
"Grant County, Kentucky",10182,74,701,1924,2481,1304,1588,754,373,266,1990,21,081
"Graves County, Kentucky",16437,93,1309,1861,2063,2289,2996,2184,1987,848,1978,21,083
"Grayson County, Kentucky",13336,61,1799,2284,2286,1524,2659,1247,730,215,1988,21,085
"Green County, Kentucky",5292,55,240,599,739,778,765,574,507,248,1977,21,087
"Greenup County, Kentucky",16247,31,941,1345,2301,1955,3303,2778,1648,797,1975,21,089
"Hancock County, Kentucky",3911,24,381,538,604,539,799,376,203,119,1982,21,091
"Hardin County, Kentucky",47370,298,5440,8719,7466,6716,7638,4198,3058,1570,1987,21,093
"Harlan County, Kentucky",13012,12,594,1297,1774,2003,2531,954,1012,835,1977,21,095
"Harrison County, Kentucky",8136,63,432,1025,1409,1001,1134,700,508,398,1979,21,097
"Hart County, Kentucky",8888,156,807,1500,1343,1035,1289,748,873,424,1984,21,099
"Henderson County, Kentucky",20109,63,1057,2316,2472,2638,3507,1971,2537,1658,1976,21,101
"Henry County, Kentucky",6678,14,422,880,998,622,1284,592,618,130,1977,21,103
"Hickman County, Kentucky",2160,0,114,183,338,343,199,461,170,175,1975,21,105
"Hopkins County, Kentucky",20965,200,1258,2084,2564,3344,3845,1998,2723,1081,1977,21,107
"Jackson County, Kentucky",5999,132,725,1101,1294,953,829,372,269,138,1992,21,109
"Jefferson County, Kentucky",357923,2893,25533,38227,37138,28693,52881,46790,53537,22988,1971,21,111
"Jessamine County, Kentucky",20936,485,2274,3927,4164,3529,3542,877,601,486,1991,21,113
"Johnson County, Kentucky",10530,18,1119,1276,1863,1563,2215,579,437,615,1984,21,115
"Kenton County, Kentucky",72896,1007,4263,8238,9532,7109,10167,7079,7342,3749,1974,21,117
"Knott County, Kentucky",6695,76,408,936,978,1232,1121,694,470,286,1982,21,119
"Knox County, Kentucky",13824,81,840,1811,2738,2658,2490,1171,884,374,1985,21,121
"Larue County, Kentucky",6542,59,487,958,1060,792,799,849,555,170,1981,21,123
"Laurel County, Kentucky",26705,429,2795,4824,6154,4126,3928,1633,1180,578,1991,21,125
"Lawrence County, Kentucky",7575,7,647,1218,1585,1194,947,757,497,230,1987,21,127
"Lee County, Kentucky",3227,12,315,458,609,579,490,176,210,144,1986,21,129
"Leslie County, Kentucky",4913,12,251,602,863,1005,853,426,483,178,1983,21,131
"Letcher County, Kentucky",10594,84,513,959,1634,1660,1939,791,547,786,1978,21,133
"Lewis County, Kentucky",6072,75,324,950,1363,688,781,507,465,346,1985,21,135
"Lincoln County, Kentucky",10869,90,703,2048,1822,1448,2021,752,622,365,1985,21,137
"Livingston County, Kentucky",4617,18,205,526,729,544,1134,416,648,162,1977,21,139
"Logan County, Kentucky",12459,197,849,916,2053,1507,2083,1975,915,295,1977,21,141
"Lyon County, Kentucky",4806,15,362,624,1234,707,825,514,248,141,1988,21,143
"McCracken County, Kentucky",32155,163,1884,3380,4845,4452,5915,3230,3653,1420,1978,21,145
"McCreary County, Kentucky",6919,87,330,1012,1526,975,1300,673,311,269,1985,21,147
"McLean County, Kentucky",4171,4,116,377,813,403,896,631,324,125,1976,21,149
"Madison County, Kentucky",39920,716,5569,8597,7628,5262,5424,2859,1573,709,1993,21,151
"Magoffin County, Kentucky",5466,0,433,689,1207,986,899,518,207,174,1986,21,153
"Marion County, Kentucky",8427,186,848,966,1455,974,1191,985,767,191,1982,21,155
"Marshall County, Kentucky",16461,163,1550,1854,3110,2398,2595,2075,1839,230,1984,21,157
"Martin County, Kentucky",4847,11,240,753,712,1182,1261,153,434,17,1984,21,159
"Mason County, Kentucky",8186,49,388,1063,1277,849,1093,814,813,502,1976,21,161
"Meade County, Kentucky",12111,110,1598,2045,2333,1674,1663,749,928,257,1990,21,163
"Menifee County, Kentucky",3387,16,433,578,658,676,593,187,119,39,1990,21,165
"Mercer County, Kentucky",10410,143,560,1826,1312,962,1896,1105,924,396,1978,21,167
"Metcalfe County, Kentucky",4719,89,256,801,916,746,933,262,388,169,1986,21,169
"Monroe County, Kentucky",5240,6,352,651,686,603,1231,722,500,179,1977,21,171
"Montgomery County, Kentucky",12204,62,983,2663,1787,1278,2220,1074,640,363,1985,21,173
"Morgan County, Kentucky",5650,103,738,782,1194,849,879,285,285,112,1990,21,175
"Muhlenberg County, Kentucky",13533,192,981,1481,1663,1740,3061,1645,1032,705,1978,21,177
"Nelson County, Kentucky",20062,318,2155,3919,3810,2458,3332,1236,1113,530,1990,21,179
"Nicholas County, Kentucky",3333,37,286,183,313,402,474,316,393,190,1971,21,181
"Ohio County, Kentucky",10199,73,776,1641,1734,1328,1409,1253,753,639,1983,21,183
"Oldham County, Kentucky",23512,526,2622,5542,4530,3263,4323,884,654,323,1993,21,185
"Owen County, Kentucky",5378,1,363,892,1467,546,875,347,177,178,1990,21,187
"Owsley County, Kentucky",2024,0,232,352,331,308,396,101,95,83,1987,21,189
"Pendleton County, Kentucky",6285,105,332,972,1069,749,656,573,584,304,1981,21,191
"Perry County, Kentucky",13256,64,1173,2143,2382,2042,2229,996,627,490,1986,21,193
"Pike County, Kentucky",28955,169,2373,3700,5709,5174,5654,2447,1390,1063,1985,21,195
"Powell County, Kentucky",5619,32,540,866,741,1146,1237,611,235,105,1984,21,197
"Pulaski County, Kentucky",31673,260,2885,5531,5641,3544,7047,2511,1375,912,1986,21,199
"Robertson County, Kentucky",996,25,59,89,207,119,69,112,39,34,1980,21,201
"Rockcastle County, Kentucky",7377,100,578,1102,1673,1192,918,711,433,268,1988,21,203
"Rowan County, Kentucky",10577,76,1188,2000,2427,1546,1632,774,506,181,1992,21,205
"Russell County, Kentucky",10146,203,984,1609,2072,1465,1891,595,650,192,1989,21,207
"Scott County, Kentucky",23335,413,4242,5987,4969,2205,1932,937,701,364,1998,21,209
"Shelby County, Kentucky",19216,234,2351,4378,3147,2002,2367,1631,703,521,1992,21,211
"Simpson County, Kentucky",8456,216,718,1052,1395,673,1295,1007,663,346,1979,21,213
"Spencer County, Kentucky",7599,198,881,2350,2082,557,474,312,215,66,1998,21,215
"Taylor County, Kentucky",11206,80,607,1338,1762,1284,1780,1996,1152,519,1977,21,217
"Todd County, Kentucky",5160,24,653,637,776,664,769,619,324,316,1983,21,219
"Trigg County, Kentucky",7625,54,667,1174,1375,1133,1537,853,391,175,1985,21,221
"Trimble County, Kentucky",3870,9,345,459,1032,416,586,278,328,68,1988,21,223
"Union County, Kentucky",5868,33,237,368,904,887,1080,605,663,386,1975,21,225
"Warren County, Kentucky",58563,1556,9166,11689,9024,7213,7812,4392,2979,1475,1992,21,227
"Washington County, Kentucky",5222,40,539,905,812,481,489,677,359,254,1983,21,229
"Wayne County, Kentucky",10144,48,790,1520,1935,1866,1637,958,702,243,1986,21,231
"Webster County, Kentucky",5728,52,526,616,756,623,923,596,536,433,1977,21,233
"Whitley County, Kentucky",15558,200,1168,2384,2712,2624,3210,1210,713,428,1985,21,235
"Wolfe County, Kentucky",3043,90,263,352,854,515,403,272,81,92,1990,21,237
"Woodford County, Kentucky",11587,27,904,1444,2072,2189,1543,1015,887,254,1984,21,239
"Acadia Parish, Louisiana",25036,178,2690,3272,3391,2456,4440,2860,3106,1008,1979,22,001
"Allen Parish, Louisiana",9543,44,910,1384,1153,1196,1645,1034,756,573,1979,22,003
"Ascension Parish, Louisiana",50971,1509,12446,13898,8000,5310,4533,2328,1486,567,2002,22,005
"Assumption Parish, Louisiana",10039,35,815,1553,1364,1620,1873,756,1004,276,1982,22,007
"Avoyelles Parish, Louisiana",18323,207,1440,2424,2641,2352,3417,1714,2146,853,1980,22,009
"Beauregard Parish, Louisiana",15968,226,2940,2524,2797,2096,2012,1288,908,416,1992,22,011
"Bienville Parish, Louisiana",6874,76,508,615,771,1340,1365,888,524,437,1979,22,013
"Bossier Parish, Louisiana",56122,804,9001,11267,6343,7960,7624,6242,5049,953,1989,22,015
"Caddo Parish, Louisiana",112568,326,7259,11548,10250,16295,22530,17850,14828,5932,1975,22,017
"Calcasieu Parish, Louisiana",94462,2660,15939,14483,11703,9869,13527,9262,9826,3214,1988,22,019
"Caldwell Parish, Louisiana",4644,25,613,659,826,865,759,237,156,251,1988,22,021
"Cameron Parish, Louisiana",3447,311,893,1065,430,295,110,155,176,5,2005,22,023
"Catahoula Parish, Louisiana",4447,0,446,449,608,604,1031,590,281,239,1979,22,025
"Claiborne Parish, Louisiana",6821,53,399,460,520,918,1629,1261,1216,184,1973,22,027
"Concordia Parish, Louisiana",9026,44,544,1023,1268,1136,1189,1906,1042,585,1976,22,029
"De Soto Parish, Louisiana",12560,208,1824,2340,1816,1700,2251,903,759,269,1989,22,031
"East Baton Rouge Parish, Louisiana",205518,2155,26929,26760,24006,34985,38104,23620,15127,7059,1983,22,033
"East Carroll Parish, Louisiana",3408,13,250,277,316,237,1245,463,256,201,1975,22,035
"East Feliciana Parish, Louisiana",8171,90,839,1456,1480,1220,1162,511,556,229,1988,22,037
"Evangeline Parish, Louisiana",14523,158,1256,2111,1836,1934,3102,1566,1397,416,1980,22,039
"Franklin Parish, Louisiana",8937,63,680,968,1237,959,1833,1406,964,381,1977,22,041
"Grant Parish, Louisiana",9054,126,1000,1732,1509,1486,1081,576,630,540,1989,22,043
"Iberia Parish, Louisiana",31215,102,2465,4857,4176,4533,4500,3947,3263,1419,1981,22,045
"Iberville Parish, Louisiana",13419,272,1718,1667,1814,2164,1897,1754,882,235,1984,22,047
"Jackson Parish, Louisiana",7223,53,664,629,746,1333,1303,944,843,310,1979,22,049
"Jefferson Parish, Louisiana",194109,688,7089,15643,16618,31909,50165,36225,21684,8202,1975,22,051
"Jefferson Davis Parish, Louisiana",14107,57,1345,1915,1561,2337,1958,1110,1978,1008,1981,22,053
"Lafayette Parish, Louisiana",110400,1688,20614,17372,12598,18775,17629,9775,7599,2451,1988,22,055
"Lafourche Parish, Louisiana",41164,294,4946,5446,4657,6131,7879,4527,3895,1487,1981,22,057
"LaSalle Parish, Louisiana",6203,65,590,707,1015,676,1062,482,403,519,1980,22,059
"Lincoln Parish, Louisiana",20650,133,2444,2495,3349,4080,4006,2315,1156,270,1985,22,061
"Livingston Parish, Louisiana",58899,1231,13912,15155,10163,6964,5522,2891,1504,368,2001,22,063
"Madison Parish, Louisiana",4388,46,443,360,519,460,892,535,428,419,1976,22,065
"Morehouse Parish, Louisiana",11895,103,519,1274,1683,1468,2647,1997,1210,546,1977,22,067
"Natchitoches Parish, Louisiana",18663,190,1946,2850,2379,2962,3935,1593,961,526,1983,22,069
"Orleans Parish, Louisiana",194758,809,11161,14836,5924,15235,27097,19960,23375,13800,1959,22,071
"Ouachita Parish, Louisiana",70667,601,6969,10354,10202,10158,12329,9049,6539,2298,1983,22,073
"Plaquemines Parish, Louisiana",9625,39,1187,3286,1381,930,1287,1112,254,99,1998,22,075
"Pointe Coupee Parish, Louisiana",11044,49,1138,1635,1620,2309,1754,877,656,469,1985,22,077
"Rapides Parish, Louisiana",58321,620,6035,7438,6944,7751,9208,6831,5976,4921,1980,22,079
"Red River Parish, Louisiana",3599,8,632,456,273,438,951,443,200,133,1980,22,081
"Richland Parish, Louisiana",8698,172,971,1016,763,1319,1628,1324,827,382,1979,22,083
"Sabine Parish, Louisiana",13618,146,2019,1630,2228,2265,2759,1263,573,256,1987,22,085
"St. Bernard Parish, Louisiana",18004,28,1107,3388,1802,2671,3387,2841,1706,649,1980,22,087
"St. Charles Parish, Louisiana",20595,150,1316,3537,2977,5187,3442,1683,1287,321,1986,22,089
"St. Helena Parish, Louisiana",5310,0,839,505,902,1155,979,517,152,70,1986,22,091
"St. James Parish, Louisiana",8651,55,1154,1576,970,1179,1312,920,721,254,1985,22,093
"St. John the Baptist Parish, Louisiana",17790,157,469,3414,1895,3750,4353,1701,1095,406,1982,22,095
"St. Landry Parish, Louisiana",37001,168,3128,4317,3879,6135,7205,6635,3243,1219,1979,22,097
"St. Martin Parish, Louisiana",23704,369,2467,4623,3294,3151,3654,2439,1789,1010,1987,22,099
"St. Mary Parish, Louisiana",22510,48,1230,2894,2510,2727,4355,3409,2786,1083,1976,22,101
"St. Tammany Parish, Louisiana",112414,2452,14690,27465,23098,18924,15633,5067,2179,980,1995,22,103
"Tangipahoa Parish, Louisiana",58663,1316,9999,10939,8506,9751,8458,4649,2599,1152,1992,22,105
"Tensas Parish, Louisiana",2804,15,84,267,135,399,700,502,379,179,1973,22,107
"Terrebonne Parish, Louisiana",47236,352,4780,7704,6147,5540,8939,5891,3755,1966,1982,22,109
"Union Parish, Louisiana",10416,56,923,1877,2036,1856,1396,1130,674,329,1988,22,111
"Vermilion Parish, Louisiana",25924,310,3268,4093,2955,3315,3630,2252,2933,1406,1983,22,113
"Vernon Parish, Louisiana",22073,155,2951,3727,3547,3401,3943,1938,1296,593,1988,22,115
"Washington Parish, Louisiana",21422,191,1803,3139,2639,3044,3873,2413,2169,838,1980,22,117
"Webster Parish, Louisiana",18341,150,987,1470,1549,2564,3923,4241,2197,756,1974,22,119
"West Baton Rouge Parish, Louisiana",11827,274,2907,1668,1427,1572,1747,799,451,347,1993,22,121
"West Carroll Parish, Louisiana",4691,0,443,369,719,604,1013,796,462,165,1978,22,123
"West Feliciana Parish, Louisiana",5127,145,673,936,949,899,579,374,213,76,1991,22,125
"Winn Parish, Louisiana",6372,44,381,434,848,1200,1318,859,697,469,1978,22,127
"Androscoggin County, Maine",50202,344,2690,5295,4256,5310,6773,4959,4183,3245,1969,23,001
"Aroostook County, Maine",38444,188,1576,3707,3923,4103,6458,3477,4048,2764,1971,23,003
"Cumberland County, Maine",151519,1963,11875,17014,15359,20441,18516,11221,11159,7965,1975,23,005
"Franklin County, Maine",21089,69,1125,2537,2924,3172,3745,1511,1248,814,1978,23,007
"Hancock County, Maine",40514,276,3025,6230,5446,5946,4760,2397,1987,1404,1981,23,009
"Kennebec County, Maine",63140,382,3432,7146,6560,9097,10136,4894,4461,2993,1975,23,011
"Knox County, Maine",24428,73,1188,2892,2731,3353,2871,1244,1218,711,1973,23,013
"Lincoln County, Maine",23810,108,1375,3133,2894,3458,3279,1571,1152,583,1977,23,015
"Oxford County, Maine",36558,305,2225,4420,3576,5879,4777,2961,2752,1419,1976,23,017
"Penobscot County, Maine",75405,419,5276,9519,8827,10340,9943,5758,5980,2757,1977,23,019
"Piscataquis County, Maine",14651,46,935,1727,1303,2318,2386,813,849,540,1976,23,021
"Sagadahoc County, Maine",19109,191,1545,2203,2082,2820,2325,945,995,960,1977,23,023
"Somerset County, Maine",30009,116,1727,3217,4051,4691,4451,1880,1933,1363,1977,23,025
"Waldo County, Maine",22118,215,1778,3818,3310,2754,2715,1252,1007,427,1983,23,027
"Washington County, Maine",21703,121,1244,2501,2472,2761,3292,1246,947,1018,1975,23,029
"York County, Maine",113853,1178,8816,14919,12513,18514,14315,7352,8151,5494,1979,23,031
"Allegany County, Maryland",32810,69,728,1571,2262,2285,3900,4712,3980,2770,1958,24,001
"Anne Arundel County, Maryland",234843,2561,25043,27781,37062,36383,37125,24870,23078,9285,1983,24,003
"Baltimore County, Maryland",350296,1537,17473,29154,46889,46986,45354,46610,66257,23676,1973,24,005
"Calvert County, Maryland",35960,446,2794,6179,8693,6838,5505,1589,1541,1043,1990,24,009
"Caroline County, Maryland",13516,164,839,1615,2235,2082,1993,948,997,516,1981,24,011
"Carroll County, Maryland",66167,648,3474,8903,12118,12008,11834,5069,3155,1451,1983,24,013
"Cecil County, Maryland",44159,382,3895,8392,7742,5915,5443,3606,3071,1337,1987,24,015
"Charles County, Maryland",63053,865,8608,10910,11485,12864,8625,3980,2495,1521,1990,24,017
"Dorchester County, Maryland",16416,49,793,2738,1629,1564,2115,1151,1713,1146,1973,24,019
"Frederick County, Maryland",106480,2906,12798,17119,20707,15947,11723,6466,4992,1967,1990,24,021
"Garrett County, Maryland",18567,33,1173,2612,3079,2805,3080,1583,1189,573,1981,24,023
"Harford County, Maryland",104409,872,8066,15733,19733,18503,15943,12371,5834,2375,1986,24,025
"Howard County, Maryland",124489,1089,17004,16862,23638,29049,21881,8115,3595,989,1989,24,027
"Kent County, Maryland",10326,19,591,1535,1268,1444,1018,1008,893,514,1977,24,029
