PartialFIPS,TEMPERATURE,Anomaly (1901-2000 base period),MONTH
VA-061,46.1,3.4,3
VA-063,45.2,4.0,3
VA-065,48.1,2.5,3
VA-067,48.6,3.3,3
VA-069,43.4,2.3,3
VA-071,44.6,3.0,3
VA-073,49.4,1.9,3
VA-075,48.3,2.2,3
VA-077,43.4,3.2,3
VA-079,46.2,3.4,3
VA-081,50.8,2.7,3
VA-083,49.2,2.5,3
VA-085,48.6,2.2,3
VA-087,49.6,2.2,3
VA-089,49.3,2.6,3
VA-091,39.7,1.6,3
VA-093,51.0,2.3,3
VA-095,50.0,2.0,3
VA-097,48.5,1.7,3
VA-099,48.2,2.9,3
VA-101,48.9,2.0,3
VA-103,47.8,1.6,3
VA-105,47.5,2.0,3
VA-107,45.6,3.4,3
VA-109,47.2,2.0,3
VA-111,49.4,2.8,3
VA-113,45.6,3.1,3
VA-115,49.1,2.1,3
VA-117,49.9,2.6,3
VA-119,48.4,1.7,3
VA-121,46.8,4.0,3
VA-125,47.0,3.2,3
VA-127,49.4,1.9,3
VA-131,48.8,2.4,3
VA-133,47.7,2.2,3
VA-135,49.3,2.6,3
VA-137,46.9,2.5,3
VA-139,44.2,3.1,3
VA-141,48.1,3.2,3
VA-143,49.3,2.8,3
VA-145,48.8,2.3,3
VA-147,48.6,2.4,3
VA-149,50.3,1.9,3
VA-153,47.5,3.7,3
VA-155,46.0,3.5,3
VA-157,44.9,3.2,3
VA-159,47.4,1.5,3
VA-161,47.5,3.2,3
VA-163,45.9,2.4,3
VA-165,44.3,3.0,3
VA-167,45.6,2.2,3
VA-169,47.0,1.5,3
VA-171,44.1,2.6,3
VA-173,44.1,2.6,3
VA-175,51.4,2.9,3
VA-177,47.0,2.3,3
VA-179,47.9,3.4,3
VA-181,50.5,2.1,3
VA-183,50.7,2.5,3
VA-185,43.3,2.3,3
VA-187,44.3,2.8,3
VA-191,46.2,2.3,3
VA-193,47.5,2.0,3
VA-195,44.6,1.3,3
VA-197,44.8,3.1,3
VA-199,50.2,2.1,3
VA-510,47.3,2.7,3
VA-520,47.8,2.2,3
VA-530,47.2,2.4,3
VA-540,48.1,3.1,3
VA-550,51.5,2.7,3
VA-570,50.0,1.8,3
VA-580,46.3,2.3,3
VA-590,50.4,2.6,3
VA-595,50.7,2.6,3
VA-600,46.4,2.9,3
VA-610,46.2,2.7,3
VA-620,51.6,2.8,3
VA-630,47.6,2.9,3
VA-640,46.0,3.8,3
VA-650,50.9,2.3,3
VA-660,45.6,3.0,3
VA-670,50.1,1.6,3
VA-680,49.2,4.0,3
VA-683,47.4,3.7,3
VA-685,47.2,3.5,3
VA-690,49.1,2.4,3
VA-700,50.9,2.3,3
VA-710,51.5,2.7,3
VA-720,44.5,1.0,3
VA-730,50.1,2.0,3
VA-735,50.6,2.3,3
VA-740,51.7,2.6,3
VA-750,46.8,3.9,3
VA-760,49.6,2.3,3
VA-770,48.8,3.1,3
VA-775,48.8,3.3,3
VA-790,46.2,3.4,3
VA-800,51.5,2.6,3
VA-810,51.4,3.0,3
VA-820,46.4,3.4,3
VA-830,50.2,2.2,3
VA-840,44.0,2.5,3
WA-001,39.4,-1.5,3
WA-003,37.1,-1.6,3
WA-005,41.6,-2.9,3
WA-007,31.9,-2.1,3
WA-009,39.1,-1.0,3
WA-011,41.5,-2.9,3
WA-013,36.6,-2.2,3
WA-015,40.3,-1.7,3
WA-017,36.1,-2.6,3
WA-019,31.7,-1.9,3
WA-021,42.0,-1.6,3
WA-023,37.1,-1.8,3
WA-025,40.1,-1.7,3
WA-027,41.4,-1.7,3
WA-029,43.1,-1.1,3
WA-031,36.4,-1.6,3
WA-033,38.8,-1.2,3
WA-035,43.5,-0.7,3
WA-037,34.0,-2.2,3
WA-039,37.1,-3.0,3
WA-041,37.3,-2.4,3
WA-043,36.1,-2.5,3
WA-045,40.0,-1.5,3
WA-047,31.1,-2.0,3
WA-049,42.0,-1.6,3
WA-051,31.2,-1.5,3
WA-053,37.1,-1.9,3
WA-055,43.8,-0.0,3
WA-057,37.2,-0.8,3
WA-059,34.2,-2.8,3
WA-061,37.4,-1.4,3
WA-063,36.5,-1.2,3
WA-065,33.8,-2.0,3
WA-067,42.1,-1.8,3
WA-069,41.8,-1.6,3
WA-071,41.9,-2.1,3
WA-073,35.4,-0.7,3
WA-075,38.7,-1.6,3
WA-077,34.6,-3.3,3
WV-001,42.0,1.9,3
WV-003,42.9,2.0,3
WV-005,46.0,2.1,3
WV-007,44.4,1.7,3
WV-009,40.1,1.1,3
WV-011,46.2,1.9,3
WV-013,44.3,2.1,3
WV-015,44.8,1.6,3
WV-017,43.2,2.0,3
WV-019,43.4,1.7,3
WV-021,44.3,2.1,3
WV-023,41.2,1.9,3
WV-025,41.9,2.5,3
WV-027,42.7,1.9,3
WV-029,39.2,0.6,3
WV-031,42.4,2.1,3
WV-033,43.0,2.0,3
WV-035,45.0,2.0,3
WV-037,43.9,2.5,3
WV-039,46.0,2.0,3
WV-041,43.6,1.8,3
WV-043,46.7,1.9,3
WV-045,46.4,1.7,3
WV-047,45.3,2.1,3
WV-049,42.1,1.6,3
WV-051,40.8,1.0,3
WV-053,44.8,1.5,3
WV-055,43.0,1.5,3
WV-057,42.6,1.7,3
WV-059,46.9,1.5,3
WV-061,41.4,1.5,3
WV-063,44.4,2.8,3
WV-065,42.2,1.7,3
WV-067,42.2,1.3,3
WV-069,40.5,1.4,3
WV-071,40.6,2.0,3
WV-073,43.5,2.2,3
WV-075,38.1,1.8,3
WV-077,39.7,1.9,3
WV-079,46.4,2.5,3
WV-081,43.6,2.1,3
WV-083,38.4,1.8,3
WV-085,43.7,2.2,3
WV-087,44.7,1.9,3
WV-089,44.3,2.1,3
WV-091,42.2,1.6,3
WV-093,38.3,2.1,3
WV-095,42.9,1.9,3
WV-097,42.2,1.7,3
WV-099,46.3,1.5,3
WV-101,40.4,1.0,3
WV-103,41.8,1.4,3
WV-105,44.3,2.2,3
WV-107,44.6,2.5,3
WV-109,45.3,2.3,3
WI-001,31.0,1.5,3
WI-003,24.2,-0.2,3
WI-005,24.8,-2.0,3
WI-007,24.4,-0.3,3
WI-009,30.0,1.0,3
WI-011,30.1,-0.0,3
WI-013,24.1,-2.2,3
WI-015,31.0,1.5,3
WI-017,26.9,-0.8,3
WI-019,28.2,0.8,3
WI-021,33.2,2.1,3
WI-023,33.1,0.8,3
WI-025,33.1,0.9,3
WI-027,32.6,1.2,3
WI-029,28.8,0.6,3
WI-031,24.0,-0.9,3
WI-033,27.2,-1.4,3
WI-035,28.6,0.1,3
WI-037,25.0,0.8,3
WI-039,31.7,1.3,3
WI-041,24.7,0.7,3
WI-043,33.7,0.6,3
WI-045,33.8,0.7,3
WI-047,32.2,1.7,3
WI-049,33.2,1.0,3
WI-051,23.3,-0.2,3
WI-053,30.3,1.4,3
WI-055,33.8,1.1,3
WI-057,31.0,1.2,3
WI-059,35.6,1.5,3
WI-061,30.2,1.3,3
WI-063,31.2,0.3,3
WI-065,33.7,0.6,3
WI-067,25.8,0.7,3
WI-069,25.4,0.1,3
WI-071,31.4,1.7,3
WI-073,27.7,0.9,3
WI-075,27.8,1.0,3
WI-077,32.2,1.9,3
WI-078,28.4,1.4,3
WI-079,35.0,2.0,3
WI-081,29.9,0.1,3
WI-083,28.5,1.0,3
WI-085,24.2,0.0,3
WI-087,30.5,1.4,3
WI-089,33.2,1.6,3
WI-091,29.0,-1.0,3
WI-093,27.7,-1.5,3
WI-095,25.1,-2.1,3
WI-097,29.9,1.6,3
WI-099,24.4,-0.0,3
WI-101,34.9,1.3,3
WI-103,32.8,1.0,3
WI-105,34.3,0.7,3
WI-107,25.1,-1.3,3
WI-109,26.6,-1.7,3
WI-111,32.4,1.2,3
WI-113,24.3,-0.2,3
WI-115,29.2,1.5,3
WI-117,32.1,1.6,3
WI-119,25.6,-0.4,3
WI-121,30.4,0.6,3
WI-123,31.2,0.3,3
WI-125,23.2,0.1,3
WI-127,33.4,0.1,3
WI-129,23.8,-1.7,3
WI-131,32.1,1.2,3
WI-133,33.8,1.6,3
WI-135,30.6,1.8,3
WI-137,31.1,1.8,3
WI-139,31.5,1.5,3
WI-141,29.6,1.1,3
WY-001,23.3,-4.4,3
WY-003,26.3,-4.4,3
WY-005,27.3,-4.1,3
WY-007,21.9,-6.4,3
WY-009,27.7,-4.0,3
WY-011,26.2,-4.4,3
WY-013,20.7,-7.8,3
WY-015,33.0,-1.4,3
WY-017,24.8,-6.6,3
WY-019,25.6,-5.3,3
WY-021,30.5,-1.9,3
WY-023,18.5,-7.2,3
WY-025,25.2,-5.5,3
WY-027,31.2,-1.5,3
WY-029,22.5,-4.0,3
WY-031,31.1,-2.7,3
WY-033,23.4,-6.5,3
WY-035,14.7,-8.5,3
WY-037,20.5,-8.6,3
WY-039,18.1,-4.8,3
WY-041,19.3,-8.3,3
WY-043,27.0,-5.7,3
WY-045,28.6,-2.8,3
AL-001,64.6,1.0,4
AL-003,67.7,1.3,4
AL-005,65.0,0.5,4
AL-007,62.7,0.2,4
AL-009,61.0,0.7,4
AL-011,64.5,0.7,4
AL-013,65.1,0.7,4
AL-015,61.1,0.4,4
AL-017,61.9,0.6,4
AL-019,60.2,-0.2,4
AL-021,62.7,0.3,4
AL-023,65.0,0.6,4
AL-025,65.3,0.6,4
AL-027,61.2,0.6,4
AL-029,60.6,0.9,4
AL-031,65.9,0.8,4
AL-033,59.5,-0.3,4
AL-035,65.4,0.3,4
AL-037,62.5,0.5,4
AL-039,66.0,0.7,4
AL-041,65.1,0.8,4
AL-043,60.3,0.2,4
AL-045,66.1,0.7,4
AL-047,65.2,1.2,4
AL-049,58.9,-0.3,4
AL-051,64.0,0.7,4
AL-053,66.1,0.4,4
AL-055,60.6,0.0,4
AL-057,61.6,-0.1,4
AL-059,59.8,0.0,4
AL-061,66.3,0.4,4
AL-063,63.3,-0.3,4
AL-065,63.5,0.1,4
AL-067,66.1,0.7,4
AL-069,67.0,0.7,4
AL-071,59.5,0.1,4
AL-073,62.4,0.9,4
AL-075,61.8,-0.0,4
AL-077,58.6,-0.9,4
AL-079,59.1,-0.8,4
AL-081,63.2,0.8,4
AL-083,58.8,-1.0,4
AL-085,65.5,1.1,4
AL-087,64.2,0.7,4
AL-089,59.3,-0.5,4
AL-091,64.4,0.3,4
AL-093,60.5,-0.0,4
AL-095,60.3,0.2,4
AL-097,68.0,1.8,4
AL-099,65.4,0.5,4
AL-101,64.8,0.7,4
AL-103,59.7,-0.4,4
AL-105,63.8,0.5,4
AL-107,62.6,-0.2,4
AL-109,65.4,1.0,4
AL-111,61.4,1.2,4
AL-113,64.3,0.6,4
AL-115,61.4,0.6,4
AL-117,62.3,0.6,4
AL-119,63.8,0.0,4
AL-121,62.0,0.5,4
AL-123,62.4,0.6,4
AL-125,62.8,0.0,4
AL-127,61.6,0.3,4
AL-129,66.5,1.2,4
AL-131,65.3,0.9,4
AL-133,59.5,-0.5,4
AZ-001,47.7,0.3,4
AZ-003,59.7,1.4,4
AZ-005,50.5,1.0,4
AZ-007,58.2,2.8,4
AZ-009,60.4,2.8,4
AZ-011,55.7,2.4,4
AZ-012,70.3,2.5,4
AZ-013,68.7,2.4,4
AZ-015,59.6,1.3,4
AZ-017,50.0,1.0,4
AZ-019,65.9,2.2,4
AZ-021,67.0,2.1,4
AZ-023,58.3,1.0,4
AZ-025,57.4,2.5,4
AZ-027,70.6,2.3,4
AR-001,62.1,-0.2,4
AR-003,62.9,-0.4,4
AR-005,58.2,0.9,4
AR-007,57.5,0.1,4
AR-009,57.4,0.6,4
AR-011,62.5,-0.3,4
AR-013,61.8,-1.0,4
AR-015,57.2,0.4,4
AR-017,63.0,-0.6,4
AR-019,60.6,-1.5,4
AR-021,59.8,0.7,4
AR-023,60.0,1.0,4
AR-025,61.6,-0.8,4
AR-027,61.8,-1.4,4
AR-029,60.6,0.3,4
AR-031,60.3,0.6,4
AR-033,59.2,-0.2,4
AR-035,61.1,-0.3,4
AR-037,60.5,-0.5,4
AR-039,60.8,-1.5,4
AR-041,62.1,-0.7,4
AR-043,62.4,-0.4,4
AR-045,60.6,-0.0,4
AR-047,59.0,-0.4,4
AR-049,58.7,1.7,4
AR-051,60.3,-0.5,4
AR-053,61.3,-0.9,4
AR-055,60.0,0.7,4
AR-057,61.4,-1.0,4
AR-059,60.8,-1.0,4
AR-061,60.1,-1.0,4
AR-063,59.7,0.7,4
AR-065,58.5,0.8,4
AR-067,60.0,0.2,4
AR-069,61.7,-0.6,4
AR-071,58.4,-0.3,4
AR-073,62.8,-0.4,4
AR-075,59.9,0.9,4
AR-077,61.5,-0.1,4
AR-079,62.2,-0.3,4
AR-081,62.3,-0.0,4
AR-083,59.6,-0.6,4
AR-085,61.2,-0.5,4
AR-087,56.5,0.0,4
AR-089,58.0,0.8,4
AR-091,63.6,0.4,4
AR-093,60.4,0.1,4
AR-095,62.0,0.2,4
AR-097,59.2,-0.9,4
AR-099,61.1,-1.5,4
AR-101,56.2,-0.2,4
AR-103,61.2,-1.8,4
AR-105,60.7,-0.1,4
AR-107,62.0,-0.0,4
AR-109,59.8,-1.2,4
AR-111,60.5,0.2,4
AR-113,58.1,-1.2,4
AR-115,59.0,-0.2,4
AR-117,61.9,0.2,4
AR-119,61.1,-0.5,4
AR-121,59.8,1.4,4
AR-123,61.1,-0.3,4
AR-125,60.8,-0.5,4
AR-127,58.8,-1.0,4
AR-129,56.9,-0.2,4
AR-131,60.3,-0.1,4
AR-133,61.0,-0.5,4
AR-135,59.0,1.2,4
AR-137,58.2,0.3,4
AR-139,62.5,-0.7,4
AR-141,58.4,0.0,4
AR-143,57.4,0.0,4
AR-145,61.0,0.6,4
AR-147,61.0,0.1,4
AR-149,59.9,-0.7,4
CA-001,56.3,1.1,4
CA-003,39.4,0.7,4
CA-005,54.1,0.9,4
CA-007,56.5,0.9,4
CA-009,54.6,1.1,4
CA-011,58.5,1.2,4
CA-013,57.6,0.9,4
CA-015,46.6,-0.4,4
CA-017,49.2,0.5,4
CA-019,52.6,1.9,4
CA-021,56.4,0.8,4
CA-023,49.7,-0.0,4
CA-025,72.9,3.1,4
CA-027,58.3,1.6,4
CA-029,59.0,2.0,4
CA-031,62.1,1.7,4
CA-033,52.4,0.8,4
CA-035,42.5,-0.3,4
CA-037,58.7,2.6,4
CA-039,52.6,1.1,4
CA-041,53.1,0.2,4
CA-043,51.4,1.1,4
CA-045,51.2,0.4,4
CA-047,59.4,0.6,4
CA-049,42.6,0.2,4
CA-051,39.5,0.1,4
CA-053,55.0,1.2,4
CA-055,56.1,1.0,4
CA-057,47.4,-0.2,4
CA-059,60.2,0.9,4
CA-061,49.1,0.1,4
CA-063,42.5,-0.7,4
CA-065,66.4,2.7,4
CA-067,60.2,1.1,4
CA-069,54.9,1.6,4
CA-071,64.4,2.0,4
CA-073,59.4,1.9,4
CA-075,54.0,-0.4,4
CA-077,60.0,1.1,4
CA-079,56.4,2.1,4
CA-081,53.6,0.5,4
CA-083,54.1,1.5,4
CA-085,54.9,1.5,4
CA-087,54.6,1.6,4
CA-089,50.7,0.0,4
CA-091,42.0,-0.5,4
CA-093,43.9,0.0,4
CA-095,58.7,0.8,4
CA-097,53.7,0.4,4
CA-099,58.9,0.9,4
CA-101,60.8,1.1,4
CA-103,54.5,0.7,4
CA-105,47.6,0.2,4
CA-107,51.2,1.9,4
CA-109,45.5,0.5,4
CA-111,54.0,2.4,4
CA-113,59.5,1.1,4
CA-115,57.6,0.8,4
CO-001,46.2,-0.2,4
CO-003,40.5,-0.7,4
CO-005,45.5,-0.3,4
CO-007,39.4,-1.0,4
CO-009,51.5,-0.1,4
CO-011,51.1,-0.4,4
CO-013,39.1,-1.7,4
CO-014,46.9,-0.3,4
CO-015,32.7,-2.1,4
CO-017,49.2,0.4,4
CO-019,31.1,-1.9,4
CO-021,36.3,-1.4,4
CO-023,37.5,-1.6,4
CO-025,49.3,0.1,4
CO-027,37.6,-0.2,4
CO-029,41.5,-2.0,4
CO-031,47.2,0.1,4
CO-033,37.9,-1.0,4
CO-035,42.5,-0.9,4
CO-037,32.9,-3.4,4
CO-039,44.1,-0.2,4
CO-041,44.5,0.1,4
CO-043,41.6,-0.7,4
CO-045,37.1,-2.7,4
CO-047,33.1,-1.7,4
CO-049,31.2,-2.8,4
CO-051,31.9,-3.0,4
CO-053,29.0,-2.4,4
CO-055,42.8,-0.5,4
CO-057,30.1,-3.2,4
CO-059,41.1,-1.1,4
CO-061,50.1,-0.2,4
CO-063,48.3,0.3,4
CO-065,28.1,-2.8,4
CO-067,40.4,-0.5,4
CO-069,36.5,-1.3,4
CO-071,47.2,-0.8,4
CO-073,46.4,-0.3,4
CO-075,46.8,-0.3,4
CO-077,42.5,-1.2,4
CO-079,30.4,-2.5,4
CO-081,36.8,-4.1,4
CO-083,44.9,-0.2,4
CO-085,42.8,-1.0,4
CO-087,45.9,-0.5,4
CO-089,50.5,-0.2,4
CO-091,36.0,-1.0,4
CO-093,32.4,-2.4,4
CO-095,47.7,0.4,4
CO-097,30.6,-3.6,4
CO-099,51.4,-0.4,4
CO-101,49.5,0.4,4
CO-103,38.1,-2.6,4
CO-105,36.5,-0.6,4
CO-107,32.9,-3.8,4
CO-109,34.9,-1.7,4
CO-111,28.2,-1.4,4
CO-113,39.5,-1.0,4
CO-115,47.7,0.2,4
CO-117,29.0,-3.1,4
CO-119,35.7,-0.9,4
CO-121,46.5,-0.2,4
CO-123,44.7,-0.9,4
CO-125,48.6,0.5,4
CT-001,52.7,5.5,4
CT-003,51.9,5.3,4
CT-005,49.7,5.3,4
CT-007,51.4,4.9,4
CT-009,51.4,4.8,4
CT-011,51.1,5.1,4
CT-013,50.2,4.6,4
CT-015,50.1,4.5,4
DE-001,58.5,6.5,4
DE-003,57.4,6.0,4
DE-005,58.9,6.6,4
FL-001,71.2,3.2,4
FL-003,70.1,3.3,4
FL-005,68.5,1.7,4
FL-007,70.9,3.5,4
FL-009,75.1,4.7,4
FL-011,77.1,4.3,4
FL-013,68.3,1.8,4
FL-015,76.6,4.7,4
FL-017,74.2,5.1,4
FL-019,72.0,4.6,4
FL-021,76.9,4.3,4
FL-023,69.8,2.8,4
FL-027,75.8,4.5,4
FL-029,71.3,4.1,4
FL-031,71.5,4.6,4
FL-033,68.1,1.6,4
FL-035,73.9,5.6,4
FL-037,69.2,2.2,4
FL-039,68.6,2.3,4
FL-041,70.8,3.5,4
FL-043,75.9,4.3,4
FL-045,68.8,2.2,4
FL-047,68.9,2.2,4
FL-049,75.8,5.0,4
FL-051,76.0,4.0,4
FL-053,75.1,5.9,4
FL-055,75.9,4.8,4
FL-057,75.8,5.5,4
FL-059,66.8,0.6,4
FL-061,75.5,5.1,4
FL-063,67.8,1.1,4
FL-065,69.3,2.8,4
FL-067,70.4,3.5,4
FL-069,74.7,5.1,4
FL-071,77.7,5.3,4
FL-073,69.4,3.0,4
FL-075,71.7,3.8,4
FL-077,68.7,2.3,4
FL-079,69.0,2.5,4
FL-081,75.3,4.6,4
FL-083,73.3,4.5,4
FL-085,76.7,5.0,4
FL-086,77.5,4.4,4
FL-087,78.0,4.3,4
FL-089,70.7,4.2,4
FL-091,68.1,2.1,4
FL-093,75.7,4.8,4
FL-095,75.4,5.0,4
FL-097,75.7,5.1,4
FL-099,76.7,4.5,4
FL-101,75.2,5.7,4
FL-103,76.4,5.6,4
FL-105,75.7,5.0,4
FL-107,73.3,5.1,4
FL-109,73.2,5.7,4
FL-111,76.1,4.9,4
FL-113,68.2,1.8,4
FL-115,75.3,4.0,4
FL-117,74.6,4.5,4
FL-119,74.6,5.2,4
FL-121,69.8,2.9,4
FL-123,70.5,3.5,4
FL-125,70.3,3.1,4
FL-127,74.1,4.8,4
FL-129,69.7,2.9,4
FL-131,67.6,1.6,4
FL-133,67.6,1.0,4
GA-001,67.3,1.7,4
GA-003,67.2,1.5,4
GA-005,67.9,2.2,4
GA-007,67.3,1.3,4
GA-009,64.3,1.3,4
GA-011,60.6,0.7,4
GA-013,60.8,0.8,4
GA-015,59.6,-0.4,4
GA-017,65.8,0.8,4
GA-019,66.1,0.7,4
GA-021,64.0,0.8,4
GA-023,64.5,0.3,4
GA-025,68.7,3.1,4
GA-027,66.8,1.0,4
GA-029,66.8,1.4,4
GA-031,66.4,1.7,4
GA-033,64.3,1.1,4
GA-035,62.0,0.5,4
GA-037,66.7,1.2,4
GA-039,69.8,3.7,4
GA-043,66.1,1.3,4
GA-045,60.9,1.4,4
GA-047,59.4,0.3,4
GA-049,70.0,3.8,4
GA-051,67.3,2.1,4
GA-053,64.3,0.6,4
GA-055,59.4,-0.3,4
GA-057,59.0,-0.1,4
GA-059,61.0,0.5,4
GA-061,65.9,0.8,4
GA-063,61.4,0.8,4
GA-065,68.4,2.2,4
GA-067,60.3,0.6,4
GA-069,67.0,1.6,4
GA-071,66.2,0.8,4
GA-073,63.6,1.3,4
GA-075,66.0,0.5,4
GA-077,61.8,1.1,4
GA-079,63.8,0.8,4
GA-081,65.7,1.4,4
GA-083,58.8,0.2,4
GA-085,58.1,0.1,4
GA-087,68.0,1.7,4
GA-089,60.9,0.9,4
GA-091,64.4,-0.2,4
GA-093,65.2,1.1,4
GA-095,67.0,1.4,4
GA-097,60.9,1.2,4
GA-099,66.9,1.0,4
GA-101,68.3,1.9,4
GA-103,66.8,2.2,4
GA-105,61.4,0.9,4
GA-107,65.2,0.9,4
GA-109,66.3,0.9,4
GA-111,56.1,0.2,4
GA-113,61.6,0.8,4
GA-115,59.9,-0.3,4
GA-117,59.1,0.3,4
GA-119,60.6,0.6,4
GA-121,60.8,1.0,4
GA-123,57.0,0.2,4
GA-125,63.6,1.0,4
GA-127,68.6,2.5,4
GA-129,59.6,-0.2,4
GA-131,67.9,1.9,4
GA-133,62.1,0.7,4
GA-135,60.3,0.7,4
GA-137,58.9,0.7,4
GA-139,59.6,0.5,4
GA-141,63.8,1.4,4
GA-143,60.0,0.9,4
GA-145,62.7,0.6,4
GA-147,60.7,0.8,4
GA-149,62.0,1.4,4
GA-151,61.6,0.5,4
GA-153,64.6,0.7,4
GA-155,65.8,0.8,4
GA-157,60.9,0.8,4
GA-159,62.3,0.8,4
GA-161,66.9,1.6,4
GA-163,63.7,0.7,4
GA-165,65.0,1.3,4
GA-167,64.9,1.0,4
GA-169,63.4,0.8,4
GA-171,62.3,0.5,4
GA-173,66.7,1.0,4
GA-175,64.7,0.3,4
GA-177,66.4,1.4,4
GA-179,66.7,1.1,4
GA-181,62.6,1.0,4
GA-183,66.7,0.9,4
GA-185,66.8,1.0,4
GA-187,57.5,0.3,4
GA-189,63.1,1.1,4
GA-191,67.5,1.6,4
GA-193,64.7,1.0,4
GA-195,61.0,0.9,4
GA-197,64.2,0.9,4
GA-199,62.2,0.9,4
GA-201,67.3,1.2,4
GA-205,67.2,1.4,4
GA-207,62.9,0.7,4
GA-209,66.0,1.0,4
GA-211,61.7,0.5,4
GA-213,58.9,-0.0,4
GA-215,63.9,0.6,4
GA-217,61.5,0.6,4
GA-219,61.2,0.5,4
GA-221,61.4,0.7,4
GA-223,60.1,0.5,4
GA-225,64.2,0.8,4
GA-227,58.2,-0.0,4
GA-229,68.4,2.7,4
GA-231,62.2,0.7,4
GA-233,60.3,0.5,4
GA-235,64.8,0.4,4
GA-237,62.9,0.9,4
GA-239,65.2,0.6,4
GA-241,57.1,1.1,4
GA-243,65.6,1.0,4
GA-245,64.1,1.2,4
GA-247,61.2,0.6,4
GA-249,64.7,1.0,4
GA-251,65.6,1.7,4
GA-253,67.7,1.3,4
GA-255,61.9,0.4,4
GA-257,59.9,0.1,4
GA-259,64.7,0.7,4
GA-261,65.5,1.2,4
GA-263,63.2,0.8,4
GA-265,62.5,1.0,4
GA-267,66.4,0.9,4
GA-269,64.0,1.0,4
GA-271,65.8,0.7,4
GA-273,66.1,1.2,4
GA-275,67.3,1.5,4
GA-277,65.5,0.5,4
GA-279,66.4,1.2,4
GA-281,56.2,1.3,4
GA-283,65.2,0.6,4
GA-285,62.3,0.9,4
GA-287,65.5,0.9,4
GA-289,64.4,0.7,4
GA-291,56.0,0.8,4
GA-293,62.9,0.8,4
GA-295,59.0,0.1,4
GA-297,60.9,0.6,4
GA-299,69.0,2.9,4
GA-301,63.1,1.1,4
GA-303,64.8,1.5,4
GA-305,67.4,1.8,4
GA-307,65.0,1.0,4
GA-309,65.6,0.5,4
GA-311,58.0,0.8,4
GA-313,59.4,0.1,4
GA-315,65.2,0.6,4
GA-317,62.1,1.0,4
GA-319,64.8,1.1,4
GA-321,66.1,1.1,4
ID-001,47.2,-2.7,4
ID-003,37.6,-3.2,4
ID-005,39.7,-2.6,4
ID-007,31.2,-6.3,4
ID-009,42.0,-1.4,4
ID-011,39.6,-3.2,4
ID-013,36.7,-2.9,4
ID-015,37.4,-3.1,4
ID-017,40.7,-1.2,4
ID-019,35.8,-3.7,4
ID-021,38.7,-0.7,4
ID-023,35.5,-4.5,4
ID-025,35.9,-2.4,4
ID-027,48.3,-2.8,4
ID-029,35.4,-3.4,4
ID-031,40.7,-2.0,4
ID-033,33.6,-4.1,4
ID-035,40.4,-1.0,4
ID-037,32.4,-2.7,4
ID-039,41.9,-2.3,4
ID-041,38.2,-3.1,4
ID-043,33.2,-4.2,4
ID-045,44.1,-3.3,4
ID-047,45.3,-1.2,4
ID-049,37.9,-1.1,4
ID-051,37.8,-4.8,4
ID-053,45.7,-0.7,4
ID-055,41.3,-2.1,4
ID-057,43.2,-0.8,4
ID-059,34.7,-2.0,4
ID-061,41.8,-1.3,4
ID-063,43.4,-1.0,4
ID-065,36.6,-4.2,4
ID-067,42.2,-2.0,4
ID-069,45.9,-0.8,4
ID-071,39.6,-3.2,4
ID-073,42.0,-2.4,4
ID-075,47.8,-2.4,4
ID-077,40.0,-3.1,4
ID-079,39.0,-1.1,4
ID-081,33.2,-3.7,4
ID-083,42.1,-2.6,4
ID-085,33.8,-2.2,4
ID-087,42.9,-3.0,4
IL-001,54.2,1.8,4
IL-003,58.0,1.1,4
IL-005,56.2,2.5,4
IL-007,48.9,1.9,4
IL-009,53.9,1.8,4
IL-011,50.9,1.9,4
IL-013,55.8,1.9,4
IL-015,49.6,2.0,4
IL-017,54.1,1.7,4
IL-019,52.5,2.0,4
IL-021,54.8,2.6,4
IL-023,54.2,1.8,4
IL-025,55.5,1.8,4
IL-027,56.4,2.0,4
IL-029,53.8,1.9,4
IL-031,50.8,3.3,4
IL-033,54.8,1.5,4
IL-035,54.3,1.8,4
IL-037,49.4,2.0,4
IL-039,53.1,2.5,4
IL-041,53.5,2.2,4
IL-043,50.3,2.7,4
IL-045,53.0,1.5,4
IL-047,56.3,1.5,4
IL-049,54.7,1.7,4
IL-051,55.3,2.0,4
IL-053,51.8,2.2,4
IL-055,56.4,1.2,4
IL-057,53.4,1.9,4
IL-059,57.2,1.1,4
IL-061,55.3,1.7,4
IL-063,51.4,2.6,4
IL-065,56.4,1.1,4
IL-067,53.5,1.7,4
IL-069,57.0,0.7,4
IL-071,52.8,2.0,4
IL-073,51.1,1.9,4
IL-075,51.7,2.3,4
IL-077,56.4,0.9,4
IL-079,54.9,1.6,4
IL-081,55.8,1.0,4
IL-083,56.1,2.0,4
IL-085,48.5,1.4,4
IL-087,56.9,0.9,4
IL-089,49.5,2.2,4
IL-091,51.4,2.6,4
IL-093,50.2,1.8,4
IL-095,51.7,1.8,4
IL-097,49.6,3.4,4
IL-099,51.0,2.1,4
IL-101,55.3,1.2,4
IL-103,50.0,1.9,4
IL-105,52.2,2.8,4
IL-107,53.8,2.2,4
IL-109,53.0,1.7,4
IL-111,48.6,2.2,4
IL-113,52.7,2.9,4
IL-115,53.7,2.3,4
IL-117,55.6,2.5,4
IL-119,56.3,1.9,4
