PartialFIPS,TEMPERATURE,Anomaly (1901-2000 base period),MONTH
CA-103,43.6,1.2,1
CA-105,38.9,1.6,1
CA-107,37.9,-0.2,1
CA-109,33.6,-2.1,1
CA-111,46.0,-0.0,1
CA-113,48.1,2.5,1
CA-115,45.4,0.9,1
CO-001,23.9,-2.7,1
CO-003,22.1,3.7,1
CO-005,24.0,-3.1,1
CO-007,21.5,-0.3,1
CO-009,32.2,0.9,1
CO-011,30.4,1.0,1
CO-013,24.5,-0.9,1
CO-014,28.2,-1.4,1
CO-015,17.8,-1.2,1
CO-017,27.4,-0.1,1
CO-019,18.6,-0.7,1
CO-021,19.8,1.3,1
CO-023,20.5,-0.4,1
CO-025,29.5,1.3,1
CO-027,23.0,0.2,1
CO-029,24.8,1.9,1
CO-031,27.3,-2.0,1
CO-033,21.9,-1.2,1
CO-035,26.5,-1.6,1
CO-037,19.0,0.3,1
CO-039,23.7,-2.6,1
CO-041,28.0,0.1,1
CO-043,25.6,-0.8,1
CO-045,23.1,1.4,1
CO-047,20.8,-0.7,1
CO-049,16.8,0.4,1
CO-051,16.4,-0.1,1
CO-053,14.6,-2.3,1
CO-055,27.8,-0.1,1
CO-057,16.0,-0.2,1
CO-059,26.2,-1.8,1
CO-061,28.8,0.7,1
CO-063,25.7,-1.6,1
CO-065,14.7,-1.0,1
CO-067,22.5,-1.1,1
CO-069,22.2,-0.3,1
CO-071,30.1,-0.8,1
CO-073,25.4,-1.6,1
CO-075,23.8,-2.1,1
CO-077,27.3,4.1,1
CO-079,16.0,-0.6,1
CO-081,20.6,0.8,1
CO-083,27.0,0.7,1
CO-085,26.6,2.7,1
CO-087,23.8,-0.5,1
CO-089,31.0,0.7,1
CO-091,22.4,1.6,1
CO-093,18.6,-0.9,1
CO-095,23.6,-1.8,1
CO-097,17.5,-0.7,1
CO-099,30.3,0.8,1
CO-101,31.2,0.3,1
CO-103,21.2,0.2,1
CO-105,18.7,1.7,1
CO-107,18.5,0.5,1
CO-109,17.8,0.2,1
CO-111,15.4,-2.7,1
CO-113,24.1,0.5,1
CO-115,23.4,-2.0,1
CO-117,16.1,-0.0,1
CO-119,21.1,-0.9,1
CO-121,22.6,-3.2,1
CO-123,24.6,-0.8,1
CO-125,24.8,-1.7,1
CT-001,39.0,12.2,1
CT-003,36.6,11.6,1
CT-005,34.7,12.0,1
CT-007,38.1,11.3,1
CT-009,37.6,11.0,1
CT-011,39.0,12.0,1
CT-013,36.2,11.7,1
CT-015,36.9,11.9,1
DE-001,42.8,9.9,1
DE-003,41.7,10.3,1
DE-005,44.0,9.5,1
FL-001,58.5,3.3,1
FL-003,56.6,3.6,1
FL-005,58.6,6.3,1
FL-007,58.0,3.5,1
FL-009,64.0,3.1,1
FL-011,69.6,4.3,1
