STATE,MONTH_NAME,EVENT_TYPE,CZ_NAME,DAMAGE_PROPERTY,STORM_AREA_MILES,DURATION_MINUTES,MONTH,FIPS
ILLINOIS,AUGUST,Thunderstorm Wind,EFFINGHAM,0.0,0.0,5,8,17049
ILLINOIS,AUGUST,Thunderstorm Wind,CLAY,0.0,0.0,5,8,17025
VIRGINIA,SEPTEMBER,Thunderstorm Wind,SOUTHAMPTON,1000.0,0.0,0,9,51175
VIRGINIA,SEPTEMBER,Thunderstorm Wind,SUFFOLK (C),2000.0,0.0,0,9,51800
ILLINOIS,AUGUST,Thunderstorm Wind,EFFINGHAM,0.0,0.0,5,8,17049
VIRGINIA,SEPTEMBER,Thunderstorm Wind,ISLE OF WIGHT,1000.0,0.0,0,9,51093
WISCONSIN,OCTOBER,Hail,WOOD,0.0,0.0,1,10,55141
WISCONSIN,OCTOBER,Hail,MARATHON,0.0,0.0,1,10,55073
ILLINOIS,AUGUST,Thunderstorm Wind,SANGAMON,0.0,0.0,5,8,17167
ILLINOIS,AUGUST,Flash Flood,CLAY,0.0,2.883779375183316,180,8,17025
ILLINOIS,AUGUST,Flash Flood,CHRISTIAN,0.0,0.6564521616330838,180,8,17021
WISCONSIN,OCTOBER,Hail,MARATHON,0.0,0.0,1,10,55073
ILLINOIS,AUGUST,Thunderstorm Wind,COLES,0.0,0.0,5,8,17029
WISCONSIN,OCTOBER,Hail,WOOD,0.0,0.0,1,10,55141
ILLINOIS,AUGUST,Hail,LAWRENCE,0.0,0.0,5,8,17101
WISCONSIN,OCTOBER,Hail,WOOD,0.0,0.0,1,10,55141
ILLINOIS,AUGUST,Thunderstorm Wind,CUMBERLAND,0.0,0.0,5,8,17035
ILLINOIS,AUGUST,Tornado,JASPER,0.0,0.005703789792213227,1,8,17079
ILLINOIS,AUGUST,Flash Flood,EFFINGHAM,0.0,0.32881661353685093,100,8,17049
ILLINOIS,AUGUST,Hail,LAWRENCE,0.0,0.0,5,8,17101
WISCONSIN,OCTOBER,Hail,MARATHON,0.0,0.0,1,10,55073
NEBRASKA,JULY,Thunderstorm Wind,SEWARD,,0.0,0,7,31159
NEBRASKA,JULY,Thunderstorm Wind,SAUNDERS,,0.0,0,7,31155
ILLINOIS,AUGUST,Thunderstorm Wind,SANGAMON,0.0,0.0,5,8,17167
ILLINOIS,AUGUST,Hail,EFFINGHAM,0.0,0.0,5,8,17049
