STATE,MONTH_NAME,EVENT_TYPE,CZ_NAME,DAMAGE_PROPERTY,STORM_AREA_MILES,DURATION_MINUTES,MONTH,FIPS
TEXAS,MARCH,Hail,JOHNSON,0.0,0.0,0,3,48251
TEXAS,MARCH,Hail,HOOD,0.0,0.0,0,3,48221
TEXAS,MARCH,Hail,TARRANT,0.0,0.0,0,3,48439
NORTH CAROLINA,JULY,Thunderstorm Wind,MOORE,0.0,0.0,0,7,37125
NORTH CAROLINA,JULY,Thunderstorm Wind,MOORE,0.0,0.0,0,7,37125
MAINE,JUNE,Flash Flood,SOMERSET,0.0,1.2035746456332077,30,6,23025
MAINE,JUNE,Flash Flood,SOMERSET,0.0,5.014303568997802,80,6,23025
COLORADO,JUNE,Flash Flood,LARIMER,5000.0,7.228432254642596e-05,60,6,08069
TEXAS,APRIL,Hail,JOHNSON,0.0,0.0,0,4,48251
SOUTH DAKOTA,APRIL,Hail,MOODY,,0.0,2,4,46101
MINNESOTA,MAY,Tornado,RENVILLE,0.0,0.03453398565938365,5,5,27129
IOWA,APRIL,Hail,LYON,,0.0,2,4,19119
GEORGIA,JANUARY,Tornado,PIKE,,0.4571191150160418,1,1,13231
GEORGIA,JANUARY,Tornado,SPALDING,,0.0023932371489191113,1,1,13255
WASHINGTON,MAY,Tornado,GRANT,0.0,0.0076818778737045785,25,5,53025
WASHINGTON,MAY,Thunderstorm Wind,FERRY,500.0,0.0,30,5,53019
MISSISSIPPI,MARCH,Thunderstorm Wind,ATTALA,5000.0,0.0,0,3,28007
TEXAS,APRIL,Hail,HILL,0.0,0.0,0,4,48217
TEXAS,APRIL,Hail,ERATH,15000.0,0.0,0,4,48143
TEXAS,APRIL,Thunderstorm Wind,MCLENNAN,0.0,0.0,0,4,48309
TEXAS,APRIL,Hail,BOSQUE,0.0,0.0,0,4,48035
TEXAS,APRIL,Hail,LIMESTONE,5000.0,0.0,0,4,48293
