TEMPERATURE_F,ANOMALY,MONTH,FIPS
16.8,0.4,1,08049
16.4,-0.1,1,08051
14.6,-2.3,1,08053
27.8,-0.1,1,08055
16.0,-0.2,1,08057
26.2,-1.8,1,08059
28.8,0.7,1,08061
25.7,-1.6,1,08063
14.7,-1.0,1,08065
22.5,-1.1,1,08067
22.2,-0.3,1,08069
30.1,-0.8,1,08071
25.4,-1.6,1,08073
23.8,-2.1,1,08075
27.3,4.1,1,08077
16.0,-0.6,1,08079
20.6,0.8,1,08081
27.0,0.7,1,08083
26.6,2.7,1,08085
23.8,-0.5,1,08087
31.0,0.7,1,08089
22.4,1.6,1,08091
18.6,-0.9,1,08093
23.6,-1.8,1,08095
17.5,-0.7,1,08097
30.3,0.8,1,08099
31.2,0.3,1,08101
21.2,0.2,1,08103
18.7,1.7,1,08105
18.5,0.5,1,08107
17.8,0.2,1,08109
15.4,-2.7,1,08111
24.1,0.5,1,08113
23.4,-2.0,1,08115
16.1,-0.0,1,08117
21.1,-0.9,1,08119
22.6,-3.2,1,08121
24.6,-0.8,1,08123
24.8,-1.7,1,08125
39.0,12.2,1,09001
36.6,11.6,1,09003
34.7,12.0,1,09005
38.1,11.3,1,09007
37.6,11.0,1,09009
39.0,12.0,1,09011
36.2,11.7,1,09013
36.9,11.9,1,09015
42.8,9.9,1,10001
41.7,10.3,1,10003
44.0,9.5,1,10005
58.5,3.3,1,12001
56.6,3.6,1,12003
58.6,6.3,1,12005
58.0,3.5,1,12007
64.0,3.1,1,12009
69.6,4.3,1,12011
57.3,6.0,1,12013
65.6,3.2,1,12015
59.7,2.6,1,12017
59.2,4.5,1,12019
68.3,3.7,1,12021
56.1,2.9,1,12023
63.9,2.4,1,12027
57.6,3.8,1,12029
58.8,4.9,1,12031
57.8,6.4,1,12033
61.8,4.9,1,12035
58.1,5.2,1,12037
56.7,5.4,1,12039
57.7,3.6,1,12041
65.6,3.2,1,12043
58.7,6.2,1,12045
54.5,2.4,1,12047
63.6,2.8,1,12049
66.9,3.4,1,12051
60.8,2.9,1,12053
64.0,2.7,1,12055
63.7,3.8,1,12057
55.2,4.8,1,12059
65.0,3.5,1,12061
55.9,4.9,1,12063
56.4,4.6,1,12065
55.8,2.7,1,12067
62.1,3.9,1,12069
67.8,4.4,1,12071
57.1,5.4,1,12073
59.2,3.9,1,12075
57.7,6.0,1,12077
54.7,2.9,1,12079
63.7,2.9,1,12081
60.2,3.6,1,12083
67.4,4.0,1,12085
70.2,4.3,1,12086
70.4,4.0,1,12087
57.4,4.7,1,12089
57.4,6.5,1,12091
65.1,3.4,1,12093
63.4,3.7,1,12095
63.8,3.2,1,12097
68.1,3.7,1,12099
61.9,3.4,1,12101
63.5,3.3,1,12103
63.6,3.4,1,12105
60.6,4.5,1,12107
60.8,5.2,1,12109
66.6,4.0,1,12111
57.9,6.6,1,12113
63.8,2.2,1,12115
63.0,3.6,1,12117
60.9,3.1,1,12119
55.3,2.4,1,12121
56.0,3.3,1,12123
57.1,3.1,1,12125
62.5,4.2,1,12127
57.6,5.3,1,12129
57.0,6.2,1,12131
56.4,5.2,1,12133
53.8,4.0,1,13001
54.1,4.1,1,13003
54.3,4.2,1,13005
54.7,5.0,1,13007
51.4,6.1,1,13009
48.0,6.1,1,13011
48.4,6.5,1,13013
47.9,7.1,1,13015
52.7,4.4,1,13017
53.3,3.7,1,13019
51.6,6.0,1,13021
51.9,4.9,1,13023
54.8,3.9,1,13025
54.5,3.9,1,13027
53.4,3.4,1,13029
52.6,4.2,1,13031
51.1,5.0,1,13033
50.8,7.2,1,13035
53.9,4.8,1,13037
56.4,4.3,1,13039
52.5,4.3,1,13043
49.3,7.9,1,13045
47.2,7.5,1,13047
56.2,4.3,1,13049
54.5,4.4,1,13051
52.1,5.3,1,13053
47.7,7.3,1,13055
47.1,6.7,1,13057
48.8,6.5,1,13059
53.2,4.5,1,13061
50.2,7.6,1,13063
54.8,3.6,1,13065
48.8,7.7,1,13067
53.7,4.4,1,13069
53.8,4.1,1,13071
50.5,5.7,1,13073
53.5,3.7,1,13075
50.2,7.5,1,13077
51.3,5.8,1,13079
53.2,5.8,1,13081
46.4,7.5,1,13083
45.7,6.0,1,13085
55.9,5.2,1,13087
49.5,7.7,1,13089
51.8,4.1,1,13091
52.8,5.9,1,13093
54.1,4.9,1,13095
49.3,7.9,1,13097
54.4,4.8,1,13099
54.2,2.7,1,13101
