FIPS,MEDIAN_INCOME
13287,39565
13289,55439
13291,65697
13293,50904
13295,55887
13297,82381
13299,44833
13301,46776
13303,44009
13305,49562
13307,40764
13309,45262
13311,69747
13313,64262
13315,48036
13317,52542
13319,46673
13321,57201
15001,77215
15003,104264
15005,86250
15007,93612
15009,95076
16001,88907
16003,59286
16005,64080
16007,67304
16009,56553
16011,76842
16013,84470
16015,77349
16017,65168
16019,76646
16021,62438
16023,43281
16025,55536
16027,72355
16029,66653
16031,67042
16033,52083
16035,57961
16037,56957
16039,58976
16041,65991
16043,72767
16045,66245
16047,62395
16049,60975
16051,82952
16053,69338
16055,77034
16057,65179
16059,52057
16061,49643
16063,66038
16065,58259
16067,70060
16069,71466
16071,72563
16073,59773
16075,65723
16077,59760
16079,49975
16081,90740
16083,65338
16085,76125
16087,53608
17001,64962
17003,43523
17005,61603
17007,81638
17009,72288
17011,65894
17013,92095
17015,60871
17017,64907
17019,63091
17021,59253
17023,70625
17025,57266
17027,82314
17029,56040
17031,81797
17033,67614
17035,69826
17037,69022
17039,64802
17041,74186
17043,110502
17045,56909
17047,59386
17049,75380
17051,57113
17053,60782
17055,53471
17057,58617
17059,54626
17061,60976
17063,93060
17065,61520
17067,65044
17069,57155
17071,65651
17073,69912
17075,62439
17077,45572
17079,71094
17081,61102
17083,79104
17085,74954
17087,65203
17089,100678
17091,68325
17093,110474
17095,53291
17097,108917
17099,72281
17101,53438
17103,68459
17105,70796
17107,64188
17109,50434
17111,102836
17113,78329
17115,62449
17117,68518
17119,74800
17121,60839
17123,69818
17125,62127
17127,62584
17129,81334
17131,71710
17133,101635
17135,61863
17137,65175
17139,71676
17141,79244
17143,64938
17145,59286
17147,87516
17149,58029
17151,62500
17153,43227
17155,77526
17157,68870
17159,60404
17161,66768
17163,70178
17165,54945
17167,74114
17169,66059
17171,73013
17173,68457
17175,62284
17177,61943
17179,76704
17181,56420
17183,54537
17185,53650
17187,64650
17189,75652
17191,53107
17193,53097
17195,64536
17197,107799
17199,65521
17201,64363
17203,85629
18001,63128
18003,68839
18005,80365
18007,61811
18009,47560
18011,104865
18013,72644
18015,64003
18017,56525
18019,72298
18021,67676
18023,63690
18025,48993
18027,68561
18029,82693
18031,74228
18033,70080
18035,56932
18037,71918
18039,65617
18041,56659
18043,78179
18045,62526
18047,79702
18049,62878
18051,67763
18053,54007
